Name,ID,Category,Network,Nation,Institution,GLAT,GLON,Start,End,Notes,Data Link,Source,Instrument id (kinst),Altitude (km),Principal Investigator,PI Email,AACGMLON,AACGMLAT,OPERATOR-NUM,OP2,OP3,Unnamed: 10,Unnamed: 11,Record ID#,Official Name,Operator (additional),Seasonality,Status,Year Established,Antarctic Region,Latitude (DDM),Longitude (DDM),Elevation (meters),Elevation Datum,Peak Population,Power Supply Types,Photo URL,Webcam URL,Date Modified,Hemisphere,PLAT,PLON
Jensen Nunatak,JNSN,GNSS,UKANET,UK,,-73.077,-66.102,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-73.077,-66.102
Bean Peaks,BEAN,GNSS,UKANET,UK,,-75.956,-69.302,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-75.956,-69.302
Gomez Nunatak,GMEZ,GNSS,UKANET,UK,,-73.885,-68.537,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-73.885,-68.537
Hutton Mountains,HTON,GNSS,UKANET,UK,,-74.08,-61.731,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-74.08,-61.731
Horseshoe Island,BSA1,GNSS,UKANET,UK,,-67.816,-67.291,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-67.816,-67.291
Cornish Island,BSA2,GNSS,UKANET,UK,,-66.984,-67.474,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-66.984,-67.474
Cape Disappointment,SGP1,GNSS,UKANET,UK,,-65.557,-61.722,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-65.557,-61.722
Kidd Islands,SGP2,GNSS,UKANET,UK,,-66.455,-65.981,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-66.455,-65.981
Upper Leppard/Mount Ivins,SGP3,GNSS,UKANET,UK,,-65.941,-63.588,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-65.941,-63.588
Cape Alexander,SGP4,GNSS,UKANET,UK,,-66.686,-62.460,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-66.686,-62.46
Marmelon Point,SGP5,GNSS,UKANET,UK,,-67.282,-64.891,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-67.282,-64.891
Majak Nunatak,MAJK,GNSS,UKANET,UK,,-81.661,-21.874,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-81.661,-21.874
Mt Skidmore (orig Mt Provender),PROV,GNSS,UKANET,UK,,-80.321,-28.887,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-80.321,-28.887
Theron Mountains,THRO,GNSS,UKANET,UK,,-79.126,-28.318,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-79.126,-28.318
Pioneer Escarpment,PESC,GNSS,UKANET,UK,,-80.377,-22.001,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-80.377,-22.001
Brenneke Nunatak,BREN,GNSS,UKANET,UK,,-72.673,-63.026,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-72.673,-63.026
Cape Framnes,CAPF,GNSS,UKANET,UK,,-66.012,-60.558,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-66.012,-60.558
Hugo Island,HUGO,GNSS,UKANET,UK,,-64.963,-65.668,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-64.963,-65.668
Prospect Point,PRPT,GNSS,UKANET,UK,,-66.007,-65.339,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-66.007,-65.339
Spring Point,SPGT,GNSS,UKANET,UK,,-64.295,-61.052,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-64.295,-61.052
Duthiers Point,DUPT,GNSS,UKANET,UK,,-64.805,-62.817,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-64.805,-62.817
Robertson Island,ROBN,GNSS,UKANET,UK,,-65.247,-59.445,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-65.247,-59.445
Backer Island,BACK,GNSS,POLENET,USA,,-74.4304,-102.478,,,,https://polenet.org/sites/,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-74.4304,-102.478
Bear Peninsula,BERP/BEAR,GNSS/seismic,POLENET,USA,,-74.5459,-111.885,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-74.5459,-111.885
Bennett Nunatak,BENN,GNSS/seismic,POLENET,USA,,-84.7865,-116.46,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-84.7865,-116.46
Brimstone Peak,BRIP,GNSS,POLENET,USA,,-75.7957,158.4691,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-75.7957,158.4691
BYRD/ST05,BYRD,seismic,POLENET,USA,,-80.0169,-119.473,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-80.0169,-119.473
Cape Surprise,SURP,seismic,POLENET,USA,,-84.7199,-171.202,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-84.7199,-171.202
Clark Mountains,CLRK,GNSS/seismic,POLENET,USA,,-77.3401,-141.874,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-77.3401,-141.874
Cordiner Peak,CRDI/DUFK,GNSS/seismic,POLENET,USA,,-82.8615,-53.1991,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-82.8615,-53.1991
Deverall Island,DEVI/DEVL,GNSS/seismic,POLENET,USA,,-81.4767,161.9771,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-81.4767,161.9771
Fallone Nunataks,FALL,GNSS/seismic,POLENET,USA,,-85.3064,-143.632,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-85.3064,-143.632
Franklin Island,FIE0,GNSS,POLENET,USA,,-76.1643,168.3817,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-76.1643,168.3817
Haag Nunatak,HAAG,GNSS,POLENET,USA,,-77.038,-78.2871,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-77.038,-78.2871
Howard Nunatak,HOWN/HOWD,GNSS/seismic,POLENET,USA,,-77.528,-86.7673,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-77.528,-86.7673
Iggy Ridge,IGGY/MILR,GNSS/seismic,POLENET,USA,,-83.3072,156.2498,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-83.3072,156.2498
Inman Nunatak,INMN,GNSS,POLENET,USA,,-74.8209,-98.8805,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-74.8209,-98.8805
Kohler Glacier,KHLR/KOLR,GNSS/seismic,POLENET,USA,,-76.1546,-120.729,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-76.1546,-120.729
Lepley Nunatak,LPLY,GNSS,POLENET,USA,,-73.1111,-90.2992,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-73.1111,-90.2992
Lonewolf Nunatak,LWN0/LONW,GNSS/seismic,POLENET,USA,,-81.3459,152.7316,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-81.3459,152.7316
Lower Thwaites Glacier,LTHW/DNTW,GNSS/seismic,POLENET,USA,,-76.4583,-107.782,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-76.4583,-107.782
Mt Bumstead,BUMS,GNSS,POLENET,USA,,-85.961,174.498,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-85.961,174.498
Mt Carbone,MCAR,GNSS,POLENET,USA,,-76.3222,-144.304,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-76.3222,-144.304
Mt Howe,HOWE,GNSS/seismic,POLENET,USA,,-87.4157,-149.434,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-87.4157,-149.434
Mt Paterson,PATN/MPAT,GNSS/seismic,POLENET,USA,,-78.03,-155.023,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-78.03,-155.023
Mt Sidley,SDLY/SILY,GNSS/seismic,POLENET,USA,,-77.1353,-125.975,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-77.1353,-125.975
Mt Suggs,SUGG/MECK,GNSS/seismic,POLENET,USA,,-75.2806,-72.1801,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-75.2806,-72.1801
Mt Walcott,WLCT,GNSS,POLENET,USA,,-85.3692,-87.3925,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-85.3692,-87.3925
Pecora Escarpment,PECE/PECA,GNSS/seismic,POLENET,USA,,-85.6119,-68.5564,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-85.6119,-68.5564
Pirrit Hills,PIRT,GNSS,POLENET,USA,,-81.1032,-85.1426,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-81.1032,-85.1426
Rambo Nunataks,RMBO,GNSS/seismic,POLENET,USA,,-83.8732,-66.3938,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-83.8732,-66.3938
Ramsey Glacier,RAMG,GNSS,POLENET,USA,,-84.3384,178.0471,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-84.3384,178.0471
Siple Dome,SIPL,seismic,POLENET,USA,,-81.6405,-148.955,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-81.653771,-149.001846
Slater Rocks,SLTR,GNSS,POLENET,USA,,-75.098,-113.88,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-75.098,-113.88
Stewart Hills,STEW,GNSS/seismic,POLENET,USA,,-84.187,-86.2473,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-84.187,-86.2473
Thurston Island,THUR,GNSS/seismic,POLENET,USA,,-72.5301,-97.5596,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-72.5301,-97.5596
Toney Mountain,TOMO,GNSS,POLENET,USA,,-75.8019,-114.662,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-75.8019,-114.662
Union Glacier,UNGL,seismic,POLENET,USA,,-79.7747,-82.524,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-79.7747,-82.524
Upper Thwaites Glacier,UTHW/UPTW,GNSS/seismic,POLENET,USA,,-77.5821,-109.044,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-77.5821,-109.044
WAIS Divide,WAIS,seismic,POLENET,USA,,-79.4181,-111.778,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-79.471286,-112.072154
Westhaven Nunatak,WHN0,GNSS,POLENET,USA,,-79.8457,154.2201,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-79.8457,154.2201
Whichaway Nunataks,WWAY/WAWA,GNSS/seismic,POLENET,USA,,-81.577,-28.4027,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-81.577,-28.4027
Whitmore Mountains,WHTM/WHIT,GNSS/seismic,POLENET,USA,,-82.6832,-104.393,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-82.6832,-104.393
Wilson Nunatak,WILN,GNSS,POLENET,USA,,-80.0398,-80.5579,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-80.0398,-80.5579
Dr Leech,m78-337,magnetometers,BAS LPM,UK,BAS,-77.5233,336.5783,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-77.5233,-23.421699999999987
Bob,m79-336,magnetometers,BAS LPM,UK,BAS,-79.6767,335.8803,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-79.6767,-24.119700000000023
Edmund,m81-338,magnetometers,BAS LPM,UK,BAS,-80.8917,337.7533,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-80.8917,-22.246699999999976
Mrs Miggins,m82-003,magnetometers,BAS LPM,UK,BAS,-81.5,3,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-81.5,3.0
Baldrick,m83-348,magnetometers,BAS LPM,UK,BAS,-82.8994,347.7508,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-82.8994,-12.249199999999973
Baron Richthoven,m84-336,magnetometers,BAS LPM,UK,BAS,-84.3594,336.1483,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-84.3594,-23.851699999999994
Lord Melchett,m85-002,magnetometers,BAS LPM,UK,BAS,-85.3569,2.062222,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-85.3569,2.062222
Baby Eating Bishop,m85-096,magnetometers,BAS LPM,UK,BAS,-85.3894,95.97389,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-85.3894,95.97389
Flash heart,m87-028,magnetometers,BAS LPM,UK,BAS,-86.9992,28.41361,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-86.9992,28.41361
Speckled Jim,m87-069,magnetometers,BAS LPM,UK,BAS,-86.5147,68.175,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-86.5147,68.175
Lord Whiteadder,m88-316,magnetometers,BAS LPM,UK,BAS,-88.0253,316.1344,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-88.0253,-43.86559999999997
PG6,PG6,magnetometers,BAS LPM,UK,BAS,-78.57,354.18,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-78.57,-5.819999999999993
PG7,PG7,magnetometers,BAS LPM,UK,BAS,-75.7,357.33,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-75.7,-2.670000000000016
PG0,PG0,magnetometers,AALPIP,USA,Virginia Tech,-83.67,88.68,,,,mist.ece.vt.edu,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-83.67,88.68
PG1,PG1,magnetometers,AALPIP,USA,Virginia Tech,-84.5,77.2,,,,mist.ece.vt.edu,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-84.5,77.2
PG2,PG2,magnetometers,AALPIP,USA,Virginia Tech,-84.42,57.96,,,,mist.ece.vt.edu,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-84.42,57.96
PG3,PG3,magnetometers,AALPIP,USA,Virginia Tech,-84.81,37.63,,,,mist.ece.vt.edu,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-84.81,37.63
PG4,PG4,magnetometers,AALPIP,USA,Virginia Tech,-83.34,12.25,,,,mist.ece.vt.edu,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-83.34,12.25
PG5,PG5,magnetometers,AALPIP,USA,Virginia Tech,-81.96,5.71,,,,mist.ece.vt.edu,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-81.96,5.71
P01,P01,magnetometers,AGO,USA,NJIT,-83.86,129.61,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-83.86,129.61
P03,P03,magnetometers,AGO,USA,NJIT,-82.8,28.6,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-82.8,28.6
P05,P05,magnetometers,AGO,USA,NJIT,-77.24,123.52,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,-77.24,123.52
Case Western Reserve University,CWRU,Institutions,,USA,CWRU,41.5014374,-81.6071722,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-63.85290052110377,-89.25910320153028
Space Science Institute,SSI,Institutions,,USA,SSI,40.0195862,-105.2428839,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-54.671617292234686,-127.65712509668126
Polar Geospatial Center,PGC,Institutions,,USA,UMN,44.9842867,-93.1847772,,,,,Manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,-63.95652596178401,-115.00728822449872
Jicamarca IS Radar,jro,Incoherent Scatter Radars,,,,-11.95,283.13,,,,,Madrigal,10.0,0.525,Danny Scipion,dscipion@igp.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,S,-11.95,-76.87
JULIA MP ISR,jmp,Incoherent Scatter Radars,,,,-11.95,283.13,,,,,Madrigal,12.0,0.525,Danny Scipion,dscipion@igp.gob.pe,,,,,,,,,,,,,,,,,,,,,,,,S,-11.95,-76.87
Arecibo IS Radar - Linefeed,arl,Incoherent Scatter Radars,,,,18.345,293.25,,,,,Madrigal,20.0,0.0,Mike Sulzer,msulzer@naic.edu,,,,,,,,,,,,,,,,,,,,,,,,N,-32.78016735659308,-55.25037937824418
Arecibo IS Radar - Gregorian,arg,Incoherent Scatter Radars,,,,18.345,293.25,,,,,Madrigal,21.0,0.0,Mike Sulzer,msulzer@naic.edu,,,,,,,,,,,,,,,,,,,,,,,,N,-32.78016735659308,-55.25037937824418
Arecibo IS Radar - Velocity Vector,aro,Incoherent Scatter Radars,,,,18.345,293.25,,,,,Madrigal,22.0,0.0,Mike Sulzer,msulzer@naic.edu,,,,,,,,,,,,,,,,,,,,,,,,N,-32.78016735659308,-55.25037937824418
MU IS Radar,mui,Incoherent Scatter Radars,,,,34.8,136.1,,,,,Madrigal,25.0,0.0,Shoichiro Fukao,fukao@kurasc.kyoto-u.ac.jp,,,,,,,,,,,,,,,,,,,,,,,,N,-18.961956995210016,135.99081752976088
Millstone Hill IS Radar,mlh,Incoherent Scatter Radars,,,,42.619,288.51,,,,,Madrigal,30.0,0.146,Phil Erickson,perickson@haystack.mit.edu,,,,,,,,,,,,,,,,,,,,,,,,N,-63.9865318665818,-65.05807938236399
Millstone Hill UHF Steerable Antenna,mlh,Incoherent Scatter Radars,,,,42.619,288.51,,,,,Madrigal,31.0,0.146,Phil Erickson,perickson@haystack.mit.edu,,,,,,,,,,,,,,,,,,,,,,,,N,-63.9865318665818,-65.05807938236399
Millstone Hill UHF Zenith Antenna,mlh,Incoherent Scatter Radars,,,,42.619,288.51,,,,,Madrigal,32.0,0.146,Phil Erickson,perickson@haystack.mit.edu,,,,,,,,,,,,,,,,,,,,,,,,N,-63.9865318665818,-65.05807938236399
St. Santin IS Radar,sts,Incoherent Scatter Radars,,,,44.65,2.19,,,,,Madrigal,40.0,0.0,Christine Amory-Mazaudier,christine.amory@lpp.polytechnique.fr,,,,,,,,,,,,,,,,,,,,,,,,N,-29.119997407321147,9.829700267077422
St. Santin Nançay Receiver,sts,Incoherent Scatter Radars,,,,47.4,2.2,,,,,Madrigal,41.0,0.0,Christine Amory-Mazaudier,christine.amory@lpp.polytechnique.fr,,,,,,,,,,,,,,,,,,,,,,,,N,-34.2165950781606,12.362555758166598
St. Santin Mende Receiver,sts,Incoherent Scatter Radars,,,,44.7,0.8,,,,,Madrigal,42.0,0.0,Christine Amory-Mazaudier,christine.amory@lpp.polytechnique.fr,,,,,,,,,,,,,,,,,,,,,,,,N,-29.218139281284003,8.763509191046445
St. Santin Monpazier Receiver,sts,Incoherent Scatter Radars,,,,44.5,3.4,,,,,Madrigal,43.0,0.0,Christine Amory-Mazaudier,christine.amory@lpp.polytechnique.fr,,,,,,,,,,,,,,,,,,,,,,,,N,-28.862873861635702,10.687372877124886
Kharkov Ukraine IS Radar,kpi,Incoherent Scatter Radars,,,,50.0,36.2,,,,,Madrigal,45.0,0.0,Prof. Igor F. Domnin,iion@kpi.kharkov.ua,,,,,,,,,,,,,,,,,,,,,,,,N,-38.389564625510744,47.52207673412845
Chatanika IS Radar,cht,Incoherent Scatter Radars,,,,65.103,212.55,,,,,Madrigal,50.0,0.0,Asti Bhatt,asti.bhatt@sri.com,,,,,,,,,,,,,,,,,,,,,,,,N,-58.62523735423196,171.70985568241912
ISTP Irkutsk Radar,ist,Incoherent Scatter Radars,,,,52.85,103.1,,,,,Madrigal,53.0,0.0,Geliy Alexandrovich Zherebtsov,uzel@iszf.irk.ru,,,,,,,,,,,,,,,,,,,,,,,,N,-37.05726023675381,107.72901015680517
UK Malvern IS Radar,mlv,Incoherent Scatter Radars,,,,52.1,2.3,,,,,Madrigal,57.0,0.0,Tony van Eyken,anthony.vaneyken@sri.com,,,,,,,,,,,,,,,,,,,,,,,,N,-43.08726140253317,18.003216818216895
Poker Flat IS Radar,pfa,Incoherent Scatter Radars,,,,65.13,212.529,,,,,Madrigal,61.0,0.215,Asti Bhatt,asti.bhatt@sri.com,,,,,,,,,,,,,,,,,,,,,,,,N,-58.63956689963323,171.66528135262683
EISCAT combined IS Radars,esa,Incoherent Scatter Radars,,,,None,None,,,,,Madrigal,70.0,None,Ingemar Häggström,ingemar@eiscat.se,,,,,,,,,,,,,,,,,,,,,,,,,,
EISCAT Kiruna UHF IS Receiver,kir,Incoherent Scatter Radars,,,,67.9,20.4,,,,,Madrigal,71.0,0.0,Ingemar Häggström,ingemar@eiscat.se,,,,,,,,,,,,,,,,,,,,,,,,N,-60.77927474526314,59.185967716546735
